ade_corpus_v2
afrikaans_ner_corpus
ai2_arc
air_dialogue
ajgt_twitter_ar
amazon_polarity
amazon_reviews_multi
amazon_us_reviews
amttl
app_reviews
ar_res_reviews
ar_sarcasm
arabic_billion_words
arabic_pos_dialect
autshumato
bbaw_egyptian
xglue
squad_kor_v2
youtube_caption_corrections
yoruba_wordsim353
yoruba_text_c3
yoruba_gv_ner
yoruba_bbc_topics
yelp_polarity
yelp_review_full
yahoo_answers_qa
yahoo_answers_topics
xsum_factuality
wrbsc
wongnai_reviews
wmt_t2t
wmt17
wmt19
wmt20_mlqe_task1
wmt20_mlqe_task2
wmt20_mlqe_task3
wisesight1000
wisesight_sentiment
wikicorpus
wikipedia
wiki_summary  # they have WikiSum, but wiki_summary is another dataset in Persian
wiki_auto
wiki_dpr
wiki_snippets
wiki_source
urdu_fake_news
universal_morphologies
un_ga
udhr
twi_text_c3
twi_wordsim353
tweets_ar_en_parallel
turku_ner_corpus
turk
turkish_movie_sentiment
turkish_ner
turkish_product_reviews
turkish_shrinked_ner
ttc4900
tmu_gfm_dataset
tlc
tiny_shakespeare
times_of_india_news_headlines
thaisum
thai_toxicity_tweet
thainer
thaiqa_squad
tep_en_fa_para
telugu_books
telugu_news
ted_hrlr
ted_iwlst2013
ted_multi
ted_talks_iwslt
taskmaster3
tashkeela
tanzil
tamilmixsentiment
swedish_ner_corpus
swedish_reviews
swda
swahili
swahili_news
style_change_detection
stsb_mt_sv
stsb_multi_mt
srwac
squad_v1_pt
squad_adversarial
species_800
spc
sogou_news
sofc_materials_articles
social_bias_frames
so_stacksample
snow_simplified_japanese_corpus
smartdata
siswati_ner_corpus
silicone
sharc_modified
setswana_ner_corpus
setimes
sesotho_ner_corpus
sepedi_ner
senti_ws
senti_lex
sem_eval_2014_task_1
sem_eval_2020_task_11
scifact
scientific_papers
scielo
saudinewsnet
sanskrit_classic
rotten_tomatoes
ro_sent
ro_sts
ro_sts_parallel
reasoning_bg
quora
qed_amara
qangaroo
qa_zre
py_ast
ptb_text_only
psc
pragmeval
polsum
polemo2
poleval2019_cyberbullying
poleval2019_mt
pib
piaf
php
peoples_daily_ner
parsinlu_reading_comprehension
opus_books
opus_dgt
opus_dogc
opus_elhuyar
opus_euconst
opus_finlex
opus_fiskmo
opus_gnome
opus_infopankki
opus_memat
opus_montenegrinsubs
opus_openoffice
opus_paracrawl
opus_rf
opus_tedtalks
opus_ubuntu
opus_wikipedia
opus_xhosanavy
openslr
ollie
ohsumed
ofis_publik
offenseval_dravidian
offenseval2020_tr
oclar
nq_open
norwegian_ner
norne
nlu_evaluation_data
nkjp-ner
newspop
newsgroup
news_commentary
ncslgr
nchlt
myanmar_news
mwsc
multi_para_crawl
muchocine
mt_eng_vietnamese
msra_ner
msr_zhen_translation_parity
msr_sqa
msr_genomics_kbcomp
ms_terms
movie_rationales
mkb
miam
menyo20k_mt
medical_questions_pairs
medical_questions_pairs
medical_dialog
makhzan
mac_morpho
m_lama
lst20
librispeech_lm
laroseda
large_spanish_corpus
kor_3i4k
kor_ner
kor_nlu
kor_qpair
kor_sae
kor_sarcasm
kilt_wikipedia
kde4
kannada_news
journalists_questions
jnlpba
jigsaw_toxicity_pred
jeopardy
iwslt2017
isizulu_ner_corpus
isixhosa_ner_corpus
interpress_news_category_tr
interpress_news_category_tr_lite
indic_glue
imdb_urdu_reviews
ilist
igbo_ner
igbo_monolingual
id_clickbait
id_liputan6
id_newspapers_2018
id_panl_bppt
id_puisi
iapp_wiki_qa_squad
hyperpartisan_news_detection
hrwac
hrenwac_para
hippocorpus
hindi_discourse
hebrew_this_world
hebrew_projectbenyehuda
hda_nli_hindi
hausa_voa_ner
hausa_voa_topics
hate_speech_portuguese
hate_speech_pl
hate_speech_filipino
harem
hansards
guardian_authorship
great_code
grail_qa
google_wellformed_query
gnad10
gigaword
giga_fren
germeval_14
germaner
generated_reviews_enth
flue
financial_phrasebank
farsi_news
